StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,,,I1,Q0.1,Q0.2,Q0.2_4_TEXT,Q0.3,Q0.4,Q0.4_8_TEXT,Q0.5,Q0.6,Q0.7,Q0.8_1,Q0.8_2,Q0.8_3,Q0.8_4,Q1.1_1,Q1.1_2,Q1.1_3,Q1.1_4,Q1.2_1,Q1.2_2,Q1.2_3,Q1.2_4,Q1.2_5,Q1.2_6,Q1.2_7,Q1.2_8,Q1.2_9,Q1.2_10,Q1.2_10_TEXT,Q1.3_1,Q1.3_2,Q1.3_3,Q1.3_4,Q1.3_5,Q1.3_6,Q1.3_7,Q1.3_8,Q1.3_9,Q1.3_10,Q1.3_10_TEXT,Q1.4_1,Q1.4_2,Q1.4_3,Q1.4_4,Q1.4_5,Q1.5,Q2.1_1,Q2.1_2,Q2.1_3,Q2.1_4,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q3.1,Q3.1.1,Q3.1.1_4_TEXT,Q3.2,Q3.3,Q3.4_1,Q3.4_2,Q3.4_3,Q3.4_4,Q3.4_5,Q3.4_6,Q4.1,Q4.1.1,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.2_6,Q4.2_7,Q4.2_7_TEXT,Q4.3_1,Q4.3_2,Q4.3_3,Q4.3_4,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.5,Q5.1,Q5.1_8_TEXT,Q5.2,Q5.3_1,Q5.3_2,Q5.3_3,Q5.3_4,Q5.3_5,Q5.3_6,Q5.4_1,Q5.4_2,Q5.4_3,Q5.4_4,Q5.4_5,Q5.4_6,Q6.1_1,Q6.1_2,Q6.1_3,Q6.1_4,Q6.1_5,Q6.1_6,Q6.1_7,Q6.2_1,Q6.2_2,Q6.2_3,Q6.2_4,Q6.2_5,Q6.2_6,Q6.3,Q6.4,Q7.1_1,Q7.1_2,Q7.1_3,Q7.1_4,Q7.2,Q7.3
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,,,Check this box before continuing to consent to taking the survey:,Which profile matches the work you perform?,What type of organization do you work for? - Selected Choice,What type of organization do you work for? - Other: - Text,List of Countries,What is your professional title? - Selected Choice,What is your professional title? - Other - Text,What is your age?,How many years have you worked in research?,What is your gender?,How often do you work on projects that have the following team size? - 1 person,How often do you work on projects that have the following team size? - 2 - 5 people,How often do you work on projects that have the following team size? - 6 - 20 people,How often do you work on projects that have the following team size? - 20+ people,To what extent was the software targeted at each of these groups of users? - Just me,To what extent was the software targeted at each of these groups of users? - Just my team,To what extent was the software targeted at each of these groups of users? - Just my discipline,To what extent was the software targeted at each of these groups of users? - More than one discipline,"What percent of your time did you actually spend in the following activities?

(total should be 100%) - Requirements gathering / documentation:","What percent of your time did you actually spend in the following activities?

(total should be 100%) - Software architecture / design:","What percent of your time did you actually spend in the following activities?

(total should be 100%) - Coding:","What percent of your time did you actually spend in the following activities?

(total should be 100%) - Testing:","What percent of your time did you actually spend in the following activities?

(total should be 100%) - Debugging:","What percent of your time did you actually spend in the following activities?

(total should be 100%) - Maintenance:","What percent of your time did you actually spend in the following activities?

(total should be 100%) - Documentation:","What percent of your time did you actually spend in the following activities?

(total should be 100%) - Meetings:","What percent of your time did you actually spend in the following activities?

(total should be 100%) - Training:","What percent of your time did you actually spend in the following activities?

(total should be 100%) - Other:","What percent of your time did you actually spend in the following activities?

(total should be 100%) - Other: - Text","What percent of time would you have liked to have spent in each activity?

(total should be 100%) - Requirements gathering / documentation:","What percent of time would you have liked to have spent in each activity?

(total should be 100%) - Software architecture / design:","What percent of time would you have liked to have spent in each activity?

(total should be 100%) - Coding:","What percent of time would you have liked to have spent in each activity?

(total should be 100%) - Testing:","What percent of time would you have liked to have spent in each activity?

(total should be 100%) - Debugging:","What percent of time would you have liked to have spent in each activity?

(total should be 100%) - Maintenance:","What percent of time would you have liked to have spent in each activity?

(total should be 100%) - Documentation:","What percent of time would you have liked to have spent in each activity?

(total should be 100%) - Meetings:","What percent of time would you have liked to have spent in each activity?

(total should be 100%) - Training:","What percent of time would you have liked to have spent in each activity?

(total should be 100%) - Other:","What percent of time would you have liked to have spent in each activity?

(total should be 100%) - Other: - Text",Which of the following types of testing did you employ? - Unit,Which of the following types of testing did you employ? - Integration,Which of the following types of testing did you employ? - System,Which of the following types of testing did you employ? - User,Which of the following types of testing did you employ? - Regression,Did you release the software under an open-source license?,"In the last 5 years, how much experience do you have with each of the following types of projects: - Single developer","In the last 5 years, how much experience do you have with each of the following types of projects: - Co-located team (i.e. a team, located in a single place or institution with well-coordinated funding/organization)","In the last 5 years, how much experience do you have with each of the following types of projects: - Distributed team (i.e. a well-defined team, located in multiple places or institutions with well-coordinated funding/organization)","In the last 5 years, how much experience do you have with each of the following types of projects: - Open-source community (i.e. a group of developers who are distributed and working under multiple independant funding sources)",How well do current tools support each of the following activities? - Requirements gathering / documentation,How well do current tools support each of the following activities? - Software architecture / design,How well do current tools support each of the following activities? - Coding,How well do current tools support each of the following activities? - Testing,How well do current tools support each of the following activities? - Debugging,How well do current tools support each of the following activities? - Maintenance,How well do current tools support each of the following activities? - Documentation,Have you received training for software development?,Where? - Selected Choice,Where? - Other - Text,Do you believe there are sufficient opportunities available for exploring or obtaining new software skills?,Do you have sufficient time to take the types of training you need to be successful?,"For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - On-site custom training","For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - Workshops or short courses (e.g., before or after a conference)","For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - Carpentries / software boot camps","For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - Summer schools (in-person or virtual)","For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - MOOCs (Massive Open Online Courses), webinars, or self-directed online courses","For each of the following types of training (languages, development techniques, and project management), which mode of delivery do you prefer? Please select your top two modes of delivery preferences for each of the training types. - Other",Have you ever included costs for software development in a funding proposal?,Select all costs for software development in your funding proposals?,"What percent of the funding for your software work
comes from each of the following? (total should be 100%) - NSF:","What percent of the funding for your software work
comes from each of the following? (total should be 100%) - NIH:","What percent of the funding for your software work
comes from each of the following? (total should be 100%) - DoD","What percent of the funding for your software work
comes from each of the following? (total should be 100%) - NASA","What percent of the funding for your software work
comes from each of the following? (total should be 100%) - NOAA","What percent of the funding for your software work
comes from each of the following? (total should be 100%) - Your own institution (e.g. faculty salary)","What percent of the funding for your software work
comes from each of the following? (total should be 100%) - Other:","What percent of the funding for your software work
comes from each of the following? (total should be 100%) - Other: - Text","Does your institution provide support for your
research software development activities in the following ways: - Financial","Does your institution provide support for your
research software development activities in the following ways: - Infrastructural (repositories, computing, etc.)","Does your institution provide support for your
research software development activities in the following ways: - Consulting / RSE support","Does your institution provide support for your
research software development activities in the following ways: - Other",Does your institution provide / support the research software development you need in the following ways: - Financial,"Does your institution provide / support the research software development you need in the following ways: - Infrastructural (repositories, computing, etc.)",Does your institution provide / support the research software development you need in the following ways: - Consulting / RSE support,Does your institution provide / support the research software development you need in the following ways: - Other,"What are the most significant gaps in your current institutional / organizational support of software related
research?","In your institution, which of the following positions are available for people whose primary role is to
develop research software? - Selected Choice","In your institution, which of the following positions are available for people whose primary role is to
develop research software? - Other - Text","Is there opportunity for career advancement (e.g., tenure, more senior positions) for people whose
primary role is to develop research software at your institution?","With regard to hiring and maintaining a highly
qualified software development staff, how important are the following concerns? - Identifying a pipeline for future staff","With regard to hiring and maintaining a highly
qualified software development staff, how important are the following concerns? - Attracting staff from underrepresented groups (e.g., race, gender, ethnicity, etc.)","With regard to hiring and maintaining a highly
qualified software development staff, how important are the following concerns? - Availability of staff who can work across disciplines","With regard to hiring and maintaining a highly
qualified software development staff, how important are the following concerns? - Competing with industry for top performers","With regard to hiring and maintaining a highly
qualified software development staff, how important are the following concerns? - Offering a viable career path","With regard to hiring and maintaining a highly
qualified software development staff, how important are the following concerns? - Opportunities to outsource skilled work","In your opinion: How important were the following
concerns when you were hired into your current position? - Diversity in the organization (e.g., in terms of race, gender, ethnicity)","In your opinion: How important were the following
concerns when you were hired into your current position? - Your experience as programmer or software engineer","In your opinion: How important were the following
concerns when you were hired into your current position? - Your background in science","In your opinion: How important were the following
concerns when you were hired into your current position? - Your knowledge of diverse programming languages","In your opinion: How important were the following
concerns when you were hired into your current position? - Your knowledge and capabilities across disciplines","In your opinion: How important were the following
concerns when you were hired into your current position? - Your potential for growth","When you write a paper and the work being described uses software, how often do you use each of the
following approaches to mention the software? - Cite paper about the software","When you write a paper and the work being described uses software, how often do you use each of the
following approaches to mention the software? - Cite the software user’s manual","When you write a paper and the work being described uses software, how often do you use each of the
following approaches to mention the software? - Mention the name of the software","When you write a paper and the work being described uses software, how often do you use each of the
following approaches to mention the software? - Mention the URL of the software","When you write a paper and the work being described uses software, how often do you use each of the
following approaches to mention the software? - Cite the URL of the software","When you write a paper and the work being described uses software, how often do you use each of the
following approaches to mention the software? - Cite the published / archived software itself","When you write a paper and the work being described uses software, how often do you use each of the
following approaches to mention the software? - Other","How often do you currently receive the following
types of credit for your software contributions? - (Co)author on research paper","How often do you currently receive the following
types of credit for your software contributions? - (Co)author on software paper","How often do you currently receive the following
types of credit for your software contributions? - Acknowledgement in paper","How often do you currently receive the following
types of credit for your software contributions? - Software cited in a paper","How often do you currently receive the following
types of credit for your software contributions? - Funded/hired to work on the software","How often do you currently receive the following
types of credit for your software contributions? - Other","For your job role, does your institution allow software contributions to be considered in performance
reviews or promotion cases?","How important do you believe software contributions are for your own performance review or promotion
case?",How well does your project do the following: - Recruit participants from underrepresented groups,How well does your project do the following: - Retain participants from underrepresented groups,How well does your project do the following: - Include participants from underrepresented groups in governance and leadership positions,How well does your project do the following: - Maintain a culture of inclusion,What are the challenges you face in creating / maintaining a culture of inclusion?,"Does your project do any measurement, tracking, or analysis of developer or user communities - with
regard to diversity and/or inclusion? If so, please describe below."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}",,,"{""ImportId"":""QID98""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_4_TEXT""}","{""ImportId"":""QID1216987505""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_8_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_10""}","{""ImportId"":""QID16_10_TEXT""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID18_9""}","{""ImportId"":""QID18_10""}","{""ImportId"":""QID18_10_TEXT""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID19_4""}","{""ImportId"":""QID19_5""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID23_3""}","{""ImportId"":""QID23_4""}","{""ImportId"":""QID23_5""}","{""ImportId"":""QID23_6""}","{""ImportId"":""QID23_7""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_4_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID29_3""}","{""ImportId"":""QID29_4""}","{""ImportId"":""QID29_5""}","{""ImportId"":""QID29_6""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID34_6""}","{""ImportId"":""QID34_7""}","{""ImportId"":""QID34_7_TEXT""}","{""ImportId"":""QID35_1""}","{""ImportId"":""QID35_2""}","{""ImportId"":""QID35_3""}","{""ImportId"":""QID35_4""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID37_3""}","{""ImportId"":""QID37_4""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID40""}","{""ImportId"":""QID40_8_TEXT""}","{""ImportId"":""QID41""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID45_3""}","{""ImportId"":""QID45_4""}","{""ImportId"":""QID45_5""}","{""ImportId"":""QID45_6""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID46_3""}","{""ImportId"":""QID46_4""}","{""ImportId"":""QID46_5""}","{""ImportId"":""QID46_6""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID48_6""}","{""ImportId"":""QID48_7""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_2""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID49_4""}","{""ImportId"":""QID49_5""}","{""ImportId"":""QID49_6""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID53_2""}","{""ImportId"":""QID53_3""}","{""ImportId"":""QID53_4""}","{""ImportId"":""QID54_TEXT""}","{""ImportId"":""QID55_TEXT""}"
10/4/2024 9:20,10/4/2024 9:29,IP Address,100,520,TRUE,10/4/2024 9:29,R_9G3I7VAKTqvGEEx,anonymous,,,I understand and consent to participate in this survey.,Combination,Other:,Non-profit organization,Germany,Research Software Engineer,,25 - 34,Less than 1 year,Male,Sometimes,Never,About half the time,About half the time,Not at all,Not at all,Secondary target,Primary target,20,25,25,0,10,0,10,10,0,0,,20,30,25,0,10,0,15,0,0,0,,Rarely,Rarely,Never,Rarely,Frequently,Yes,None,1-3 projects,1-3 projects,1-3 projects,Moderately supported,Very supported,Extremely supported,Very supported,Slightly supported,Moderately supported,Extremely supported,Yes,"Class / school,Online self-directed",,Yes,Yes,"Languages,Development techniques,Project Management","Languages,Development techniques,Project Management",,,,,No,,0,0,0,0,0,100,0,,"Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support","Yes, adequate level of support",,Research Software Engineer,,Yes - in my current institution,Extremely important,Moderately important,Slightly important,Extremely important,Extremely important,Slightly important,Moderately important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Always,Never,Always,Always,Always,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Yes,Extremely important,Average,Excellent,Average,Good,Few qualified applicants from underrepresented groups,
